OBJECTID,A,Service Category,Service Type,Walk-in,Insurance,Children,Facility Name ,Address,City,Borough,Latitude,Longitude,ZIP Code,Phone,Website,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,More Information,DOHMH Website,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
847,854,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Washington Hts HC *Special Event*,600 West 168th Street,MANHATTAN,MANHATTAN,40.841257460000001,-73.940222019999993,10032,(212) 491-1661,,,,,,,,,"Special Event Hours:  Tuesday, November 1st, 10:00 am -12:00 pm & Monday, November 14th, 10:00 am -12:00 pm on 1st Floor (Former HHC Child Clinic)",{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.84125746', 'longitude': '-73.94022202', 'human_address': '{""address"": ""600\xa0West 168th Street"", ""city"": ""MANHATTAN"", ""state"": """", ""zip"": """"}'}",13090,47,4,39,21
334,87,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Duane Reade,253 W 72ND ST,NEW YORK,Manhattan,40.77953694,-73.983760009999997,10023,212-580-0497,{'url': 'https://www.walgreens.com/topic/duane-reade/duane-reade.jsp'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.77953694', 'longitude': '-73.98376001', 'human_address': '{""address"": ""253 W 72ND ST"", ""city"": ""NEW YORK"", ""state"": """", ""zip"": """"}'}",12420,20,4,19,12
629,477,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Rite Aid Pharmacy,32-14  31st Street,Queens,Queens,40.761330340000001,-73.926004980000002,11106,(718) 728-9080,{'url': 'https://www.riteaid.com/'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.76133034', 'longitude': '-73.92600498', 'human_address': '{""address"": ""32-14 31st Street"", ""city"": ""Queens"", ""state"": """", ""zip"": """"}'}",16863,39,3,4,72
250,373,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Rite Aid Pharmacy,81 1st Avenue,Manhattan,Manhattan,40.725735319999998,-73.986704000000003,10003,(212) 388-9348,{'url': 'https://www.riteaid.com/'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.72573532', 'longitude': '-73.986704', 'human_address': '{""address"": ""81 1st Avenue"", ""city"": ""Manhattan"", ""state"": """", ""zip"": """"}'}",11724,70,4,50,5
519,439,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Rite Aid Pharmacy,153-65 Cross Island Pkwy,Queens,Queens,40.786984699999998,-73.808747350000004,11357,(718) 767-6000,{'url': 'https://www.riteaid.com/'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.7869847', 'longitude': '-73.80874735', 'human_address': '{""address"": ""153-65 Cross Island Pkwy"", ""city"": ""Queens"", ""state"": """", ""zip"": """"}'}",14192,22,3,20,67
469,713,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Tower Chemists,1292 1st Avenue,Manhattan,MANHATTAN,40.766138560000002,-73.957199200000005,10021,(212) 628-1900,,,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.76613856', 'longitude': '-73.9571992', 'human_address': '{""address"": ""1292 1st Avenue"", ""city"": ""Manhattan"", ""state"": """", ""zip"": """"}'}",12083,23,4,1,11
235,369,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Rite Aid Pharmacy,1720 Kings Highway,Brooklyn,Brooklyn,40.609724110000002,-73.955998480000005,11229,(718) 998-3377,{'url': 'https://www.riteaid.com/'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.60972411', 'longitude': '-73.95599848', 'human_address': '{""address"": ""1720 Kings Highway"", ""city"": ""Brooklyn"", ""state"": """", ""zip"": """"}'}",13512,32,2,15,36
1,1,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Duane Reade,37 BROADWAY,NEW YORK,Manhattan,40.70619086,-74.013032219999999,10006,212-425-8460,{'url': 'https://www.walgreens.com/topic/duane-reade/duane-reade.jsp'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.70619086', 'longitude': '-74.01303222', 'human_address': '{""address"": ""37 BROADWAY"", ""city"": ""NEW YORK"", ""state"": """", ""zip"": """"}'}",11727,56,4,32,1
778,577,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,CVS,859 MANHATTAN AVE.,BROOKLYN,BROOKLYN,40.729255899999998,-73.95386388,11222,(718) 389-2403,{'url': 'http://www.cvs.com/'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.7292559', 'longitude': '-73.95386388', 'human_address': '{""address"": ""859 MANHATTAN AVE."", ""city"": ""BROOKLYN"", ""state"": """", ""zip"": """"}'}",18182,36,2,38,57
556,451,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Rite Aid Pharmacy,2577 Nostrand  Avenue,Brooklyn,Brooklyn,40.621407290000001,-73.945815330000002,11210,(718) 258-1812,{'url': 'https://www.riteaid.com/'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.62140729', 'longitude': '-73.94581533', 'human_address': '{""address"": ""2577 Nostrand Avenue"", ""city"": ""Brooklyn"", ""state"": """", ""zip"": """"}'}",17217,5,2,26,38
667,493,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,CVS,81 EIGHTH AVE.,NEW YORK,MANHATTAN,40.739851710000003,-74.002457469999996,10011,(212) 366-4085,{'url': 'http://www.cvs.com/'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.73985171', 'longitude': '-74.00245747', 'human_address': '{""address"": ""81 EIGHTH AVE."", ""city"": ""NEW YORK"", ""state"": """", ""zip"": """"}'}",12074,12,4,10,6
89,228,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Walgreens Drug Store,159-34 Jamaica Avenue,Queens,Queens,40.703492910000001,-73.799782019999995,11432,(800) 358-9950,{'url': 'https://www.walgreens.com/'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.70349291', 'longitude': '-73.79978202', 'human_address': '{""address"": ""159-34 Jamaica Avenue"", ""city"": ""Queens"", ""state"": """", ""zip"": """"}'}",24340,41,3,6,61
482,429,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Rite Aid Pharmacy,2748 East Tremont Avenue,Bronx,Bronx,40.842251529999999,-73.844727500000005,10461,(718) 829-6808,{'url': 'https://www.riteaid.com/'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.84225153', 'longitude': '-73.8447275', 'human_address': '{""address"": ""2748 East Tremont Avenue"", ""city"": ""Bronx"", ""state"": """", ""zip"": """"}'}",11270,43,5,12,28
353,287,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Walgreens Drug Store,1134 East New York Avenue,Brooklyn,Brooklyn,40.66622504,-73.924689099999995,11212,(800) 358-9950,{'url': 'https://www.walgreens.com/'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.66622504', 'longitude': '-73.9246891', 'human_address': '{""address"": ""1134 East New York Avenue"", ""city"": ""Brooklyn"", ""state"": """", ""zip"": """"}'}",17614,61,2,17,40
409,602,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Stop and Shop Pharmacy,1710 Avenue Y,Brooklyn,BROOKLYN,40.590300999999997,-73.952642470000001,11235,(718) 648-6971,,,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.590301', 'longitude': '-73.95264247', 'human_address': '{""address"": ""1710 Avenue Y"", ""city"": ""Brooklyn"", ""state"": """", ""zip"": """"}'}",13826,32,2,15,36
171,347,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Rite Aid Pharmacy,2007 86th Street,Brooklyn,Brooklyn,40.604455960000003,-73.997954879999995,11214,(718) 373-8185,{'url': 'https://www.riteaid.com/'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.60445596', 'longitude': '-73.99795488', 'human_address': '{""address"": ""2007 86th Street"", ""city"": ""Brooklyn"", ""state"": """", ""zip"": """"}'}",17616,1,2,45,37
524,727,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,VNS Pharmacy (Neighboorhood Drug Store),93-05 63rd Drive,Rego Park,QUEENS,40.728130100000001,-73.863607200000004,11374,(718) 997-6900,,,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.7281301', 'longitude': '-73.8636072', 'human_address': '{""address"": ""93-05 63rd Drive"", ""city"": ""Rego Park"", ""state"": """", ""zip"": """"}'}",14785,40,3,28,70
583,460,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Rite Aid Pharmacy,32-87  Steinway Street,Queens,Queens,40.757006740000001,-73.920553699999999,11103,(718) 278-2100,{'url': 'https://www.riteaid.com/'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.75700674', 'longitude': '-73.9205537', 'human_address': '{""address"": ""32-87 Steinway Street"", ""city"": ""Queens"", ""state"": """", ""zip"": """"}'}",16860,39,3,33,72
763,824,Vaccines,Flu Vaccine (Influenza),Yes,Yes,Yes,Cumberland Diagnostic and Treatment Center,100 NORTH PORTLAND AVENUE ,BROOKLYN,BROOKLYN,40.695260519999998,-73.976231519999999,11205,718 260 7835,{'url': 'http://www.nychealthandhospitals.org/hhc/html/home/home.shtml'},,,,,,,,Call location for hours and information. Insurance not required.,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.69526052', 'longitude': '-73.97623152', 'human_address': '{""address"": ""100 NORTH PORTLAND AVENUE"", ""city"": ""BROOKLYN"", ""state"": """", ""zip"": """"}'}",17212,68,2,48,55
116,332,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Rite Aid Pharmacy,1535 2nd Avenue,Manhattan,Manhattan,40.773892150000002,-73.954684889999996,10075,(212) 327-4757,{'url': 'https://www.riteaid.com/'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.77389215', 'longitude': '-73.95468489', 'human_address': '{""address"": ""1535 2nd Avenue"", ""city"": ""Manhattan"", ""state"": """", ""zip"": """"}'}",10092,23,4,1,11
684,676,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Mellor's Drug Streetore,3343 Fulton Street,Brooklyn,BROOKLYN,40.683628089999999,-73.872272629999998,11208,(718) 277 5371,,,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.68362809', 'longitude': '-73.87227263', 'human_address': '{""address"": ""3343 Fulton Street"", ""city"": ""Brooklyn"", ""state"": """", ""zip"": """"}'}",17215,45,2,37,47
731,811,Vaccines,Flu Vaccine (Influenza),Yes,Yes,Yes,Melrose Houses ,348 EAST 156 STREET ,BRONX,BRONX,40.82136895,-73.917813670000001,10451,212-932-6718,{'url': 'http://www.nychealthandhospitals.org/hhc/html/home/home.shtml'},,,,,,,,Call location for hours and information. Insurance not required.,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.82136895', 'longitude': '-73.91781367', 'human_address': '{""address"": ""348 EAST 156 STREET"", ""city"": ""BRONX"", ""state"": """", ""zip"": """"}'}",10929,49,5,43,23
218,257,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Walgreens Drug Store,1371 Metropolitan Avenue,Bronx,Bronx,40.834962949999998,-73.861201660000006,10462,(800) 358-9950,{'url': 'https://www.walgreens.com/'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.83496295', 'longitude': '-73.86120166', 'human_address': '{""address"": ""1371 Metropolitan Avenue"", ""city"": ""Bronx"", ""state"": """", ""zip"": """"}'}",11271,58,5,31,26
277,157,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Duane Reade,756 MYRTLE AVE,BROOKLYN,Brooklyn,40.695022719999997,-73.951997250000005,11206,718-237-4526,{'url': 'https://www.walgreens.com/topic/duane-reade/duane-reade.jsp'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.69502272', 'longitude': '-73.95199725', 'human_address': '{""address"": ""756 MYRTLE AVE"", ""city"": ""BROOKLYN"", ""state"": """", ""zip"": """"}'}",17213,69,2,49,51
309,80,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Duane Reade,23001 MERRICK BLVD,LAURELTON,Queens,40.676160789999997,-73.740335270000003,11413,718-528-8585,{'url': 'https://www.walgreens.com/topic/duane-reade/duane-reade.jsp'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.67616079', 'longitude': '-73.74033527', 'human_address': '{""address"": ""23001 MERRICK BLVD"", ""city"": ""LAURELTON"", ""state"": """", ""zip"": """"}'}",15313,63,3,47,63
742,815,Vaccines,Flu Vaccine (Influenza),Yes,Yes,Yes,The Health Center at Tremont ,1826 ARTHUR AVENUE ,BRONX,BRONX,40.844076340000001,-73.894480479999999,10457,212-932-6718,{'url': 'http://www.nychealthandhospitals.org/hhc/html/home/home.shtml'},,,,,,,,Clinic is on the second floor only. Call location for hours and information. Insurance not required.,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.84407634', 'longitude': '-73.89448048', 'human_address': '{""address"": ""1826 ARTHUR AVENUE"", ""city"": ""BRONX"", ""state"": """", ""zip"": """"}'}",10935,35,5,43,31
6,201,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Duane Reade,245 1st Ave. ,NEW YORK,Manhattan,40.73169291,-73.982374320000005,10003,212-529-0091,{'url': 'https://www.walgreens.com/topic/duane-reade/duane-reade.jsp'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.73169291', 'longitude': '-73.98237432', 'human_address': '{""address"": ""245 1st Ave."", ""city"": ""NEW YORK"", ""state"": """", ""zip"": """"}'}",11724,71,4,50,7
874,874,Vaccines,Flu Vaccine (Influenza),Yes,Yes,Yes,Advantagecare Physicans Medical Office,206-20 LINDEN BOULEVARD,206-20 LINDEN BOULEVARD,QUEENS,40.696189019999998,-73.745867059999995,11411,646-680-3000,{'url': 'http://acpny.com/city'},,,,,,,,Call 646-680-3000 for an appointment or for walk-in hours. Both cash and insurance are accepted.,,"{'latitude': '40.69618902', 'longitude': '-73.74586706', 'human_address': '{""address"": ""206-20 LINDEN BOULEVARD"", ""city"": ""206-20 LINDEN BOULEVARD"", ""state"": """", ""zip"": """"}'}",15311,63,3,6,63
450,419,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Rite Aid Pharmacy,2064 Mill Avenue,Brooklyn,Brooklyn,40.615718379999997,-73.914250699999997,11234,(718) 531-0408,{'url': 'https://www.riteaid.com/'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.61571838', 'longitude': '-73.9142507', 'human_address': '{""address"": ""2064 Mill Avenue"", ""city"": ""Brooklyn"", ""state"": """", ""zip"": """"}'}",13825,5,2,8,38
121,333,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Rite Aid Pharmacy,4123 Avenue D,Brooklyn,Brooklyn,40.641688510000002,-73.937332670000004,11203,(718) 629-2275,{'url': 'https://www.riteaid.com/'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.64168851', 'longitude': '-73.93733267', 'human_address': '{""address"": ""4123 Avenue D"", ""city"": ""Brooklyn"", ""state"": """", ""zip"": """"}'}",16866,61,2,26,40
248,148,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Duane Reade,1052-1055 1ST AVE,NEW YORK,Manhattan,40.758564319999998,-73.962662730000005,10022,646-282-0530,{'url': 'https://www.walgreens.com/topic/duane-reade/duane-reade.jsp'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.75856432', 'longitude': '-73.96266273', 'human_address': '{""address"": ""1052-1055 1ST AVE"", ""city"": ""NEW YORK"", ""state"": """", ""zip"": """"}'}",12419,71,4,1,9
380,298,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Walgreens Drug Store,1161 Victory Blvd.,Staten Island,Staten Island,40.616863360000004,-74.102615869999994,10301,(800) 358-9950,{'url': 'https://www.walgreens.com/'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.61686336', 'longitude': '-74.10261587', 'human_address': '{""address"": ""1161 Victory Blvd."", ""city"": ""Staten Island"", ""state"": """", ""zip"": """"}'}",10369,4,1,13,74
879,879,Vaccines,Flu Vaccine (Influenza),Yes,Yes,Yes,Advantagecare Physicans Medical Office,180-05 HILLSIDE AVENUE,180-05 HILLSIDE AVENUE,QUEENS,40.713045360000002,-73.782188180000006,11432,646-680-3000,{'url': 'http://acpny.com/city'},,,,,,,,Call 646-680-3000 for an appointment or for walk-in hours. Both cash and insurance are accepted.,,"{'latitude': '40.71304536', 'longitude': '-73.78218818', 'human_address': '{""address"": ""180-05 HILLSIDE AVENUE"", ""city"": ""180-05 HILLSIDE AVENUE"", ""state"": """", ""zip"": """"}'}",24332,25,3,24,65
441,509,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,CVS,4112 AVENUE U,BROOKLYN,BROOKLYN,40.6089226,-73.92389627,11234,(718) 253-0200,{'url': 'http://www.cvs.com/'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.6089226', 'longitude': '-73.92389627', 'human_address': '{""address"": ""4112 AVENUE U"", ""city"": ""BROOKLYN"", ""state"": """", ""zip"": """"}'}",13825,5,2,8,38
656,751,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Auburndale Pharmacy,192-15 47th Avenue,Flushing,QUEENS,40.751997439999997,-73.788593149999997,11358,(718) 352-3200,,,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.75199744', 'longitude': '-73.78859315', 'human_address': '{""address"": ""192-15 47th Avenue"", ""city"": ""Flushing"", ""state"": """", ""zip"": """"}'}",14193,26,3,20,69
512,724,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Preferred Pharmacy-Brooklyn,1771 Broadway,Brooklyn,BROOKLYN,40.682494429999998,-73.909728869999995,11207,(718) 872-7717,,,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.68249443', 'longitude': '-73.90972887', 'human_address': '{""address"": ""1771 Broadway"", ""city"": ""Brooklyn"", ""state"": """", ""zip"": """"}'}",17214,42,2,37,53
615,472,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Rite Aid Pharmacy,95-14  63rd Drive,Queens,Queens,40.729441790000003,-73.862720120000006,11374,(718) 896-5084,{'url': 'https://www.riteaid.com/'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.72944179', 'longitude': '-73.86272012', 'human_address': '{""address"": ""95-14 63rd Drive"", ""city"": ""Queens"", ""state"": """", ""zip"": """"}'}",14785,40,3,28,70
270,155,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Duane Reade,459 BROADWAY,NEW YORK,Manhattan,40.720760910000003,-74.000734649999998,10013,212-219-2658,{'url': 'https://www.walgreens.com/topic/duane-reade/duane-reade.jsp'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.72076091', 'longitude': '-74.00073465', 'human_address': '{""address"": ""459 BROADWAY"", ""city"": ""NEW YORK"", ""state"": """", ""zip"": """"}'}",12076,57,4,32,1
678,498,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,CVS,1396 SECOND AVENUE,NEW YORK,MANHATTAN,40.769084030000002,-73.958135949999999,10021,(212) 249-5062,{'url': 'http://www.cvs.com/'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.76908403', 'longitude': '-73.95813595', 'human_address': '{""address"": ""1396 SECOND AVENUE"", ""city"": ""NEW YORK"", ""state"": """", ""zip"": """"}'}",12083,23,4,1,11
